title,author,rating,rating_count,description,isbn,image,url_from_jsonld,book_url,pages,published_year,language,genres
The Stand,Stephen  King,4.35,837360,,,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1213131305i/149267.jpg,,https://www.goodreads.com/book/show/149267.The_Stand,1152.0,,,"Horror, Fiction, Fantasy, Science Fiction, Post Apocalyptic"
Catch-22,Joseph Heller,3.99,888119,,9780684833392,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1463157317i/168668.jpg,,https://www.goodreads.com/book/show/168668.Catch_22,453.0,,,"Classics, Fiction, Historical Fiction, War, Humor"
"The Adventures of Sherlock Holmes (Sherlock Holmes, #3)",Arthur Conan Doyle,4.3,326960,,,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1164045516i/3590.jpg,,https://www.goodreads.com/book/show/3590.The_Adventures_of_Sherlock_Holmes,389.0,,,"Classics, Mystery, Fiction, Short Stories, Crime"
"The Pillars of the Earth (Kingsbridge, #1)",Ken Follett,4.35,832833,,9780451222138,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1576956100i/5043.jpg,,https://www.goodreads.com/book/show/5043.The_Pillars_of_the_Earth,976.0,,,"Historical Fiction, Fiction, Historical, Fantasy, Classics"
Rebecca,Daphne du Maurier,4.25,724004,,9780316323703,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1386605169i/17899948.jpg,,https://www.goodreads.com/book/show/17899948-rebecca,449.0,,,"Classics, Fiction, Mystery, Gothic, Romance"
"Watership Down (Watership Down, #1)",Richard  Adams,4.09,506354,,9780380395866,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1405136931i/76620.jpg,,https://www.goodreads.com/book/show/76620.Watership_Down,478.0,,,"Classics, Fiction, Fantasy, Young Adult, Animals"
The Color Purple,Alice Walker,4.28,753851,,9780143135692,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1703084419i/52892857.jpg,,https://www.goodreads.com/book/show/52892857-the-color-purple,287.0,,,"Classics, Fiction, Historical Fiction, Feminism, LGBT"
Great Expectations,Charles Dickens,3.8,875835,,9780192833594,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1631687432i/2623.jpg,,https://www.goodreads.com/book/show/2623.Great_Expectations,544.0,,,"Classics, Fiction, Literature, Historical Fiction, School"
"Outlander (Outlander, #1)",Diana Gabaldon,4.26,1155979,,9780440242949,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1659086907i/10964.jpg,,https://www.goodreads.com/book/show/10964.Outlander,850.0,,,"Historical Fiction, Romance, Fantasy, Fiction, Time Travel"
Anna Karenina,Leo Tolstoy,4.1,934427,,9780345803924,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1546091617i/15823480.jpg,,https://www.goodreads.com/book/show/15823480-anna-karenina,964.0,,,"Classics, Fiction, Romance, Russia, Historical Fiction"
"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,4.41,3160221,,,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1654215925i/61215351.jpg,,https://www.goodreads.com/book/show/61215351-the-fellowship-of-the-ring,432.0,,,"Fantasy, Classics, Fiction, Adventure, Audiobook"
A Clockwork Orange,Anthony Burgess,4,771532,,9780393341768,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1549260060i/41817486.jpg,,https://www.goodreads.com/book/show/41817486-a-clockwork-orange,240.0,,,"Classics, Fiction, Science Fiction, Dystopia, Horror"
One Flew Over the Cuckoo’s Nest,Ken Kesey,4.2,781313,,,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1516211014i/332613.jpg,,https://www.goodreads.com/book/show/332613.One_Flew_Over_the_Cuckoo_s_Nest,325.0,,,"Classics, Fiction, Psychology, Literature, Novels"
The Brothers Karamazov,Fyodor Dostoevsky,4.39,388357,,9780374528379,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1427728126i/4934.jpg,,https://www.goodreads.com/book/show/4934.The_Brothers_Karamazov,796.0,,,"Classics, Fiction, Russia, Philosophy, Russian Literature"
My Sister&apos;s Keeper,Jodi Picoult,4.11,1277239,,9780743454537,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1369504683i/10917.jpg,,https://www.goodreads.com/book/show/10917.My_Sister_s_Keeper,423.0,,,"Fiction, Contemporary, Book Club, Chick Lit, Young Adult"
To Kill a Mockingbird,Harper Lee,4.26,6905680,,,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1554368352i/2654.jpg,,https://www.goodreads.com/book/show/2654.To_Kill_a_Mockingbird,323.0,,,"Classics, Fiction, Historical Fiction, School, Literature"
A Tree Grows in Brooklyn,Betty  Smith,4.3,513901,,9780061120077,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1327883484i/14891.jpg,,https://www.goodreads.com/book/show/14891.A_Tree_Grows_in_Brooklyn,496.0,,,"Classics, Fiction, Historical Fiction, Book Club, Young Adult"
The Elephant Tree,R.D. Ronald,3.9,41120,,9781848764569,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1327248026i/9293020.jpg,,https://www.goodreads.com/book/show/9293020-the-elephant-tree,252.0,,,"Thriller, Mystery, Crime, Fiction, Mystery Thriller"
The Road,Cormac McCarthy,4,1040671,,9780307265432,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1600241424i/6288.jpg,,https://www.goodreads.com/book/show/6288.The_Road,241.0,,,"Fiction, Science Fiction, Dystopia, Classics, Post Apocalyptic"
"The Golden Compass (His Dark Materials, #1)",Philip Pullman,4.03,1620133,,9780679879244,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1505766203i/119322.jpg,,https://www.goodreads.com/book/show/119322.The_Golden_Compass,399.0,,,"Fantasy, Young Adult, Fiction, Childrens, Adventure"
"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,4.57,4205821,,,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1627044952i/58613424.jpg,,https://www.goodreads.com/book/show/58613424-harry-potter-and-the-goblet-of-fire,752.0,,,"Fantasy, Fiction, Young Adult, Harry Potter, Magic"
