Genre,Frequency
Biophysics,1
Biological aspects,1
Life (Biology),1
Anglican converts,1
1805-1807,1
Burr Conspiracy,1
Stateless persons in fiction,1
Blackwell's Island,1
New York (N.Y.). Lunatic Asylum,1
Commitment and detention,1
Utopian fiction,1
humorous,1
War in Fiction,1
Merton,1
1915-1968,1
Trappists,1
Home schooling,1
Neurosurgeons,1
philosophy,1
Dutch Americans,1
Mathématiciens,1
Schizofrenie,1
Schizophrenics,1
Subculture,1
Booksellers and bookselling,1
Mort,1
Translations into Ukrainian,1
Italian literature,1
nyt:paperback_nonfiction=2007-01-28,1
Christmas stories,1
Magi,1
Advertising agencies,1
Veterinarians,1
nyt:e-book-nonfiction=2016-04-10,1
Roman emperors,1
Assertiveness in women,1
Psykologi,1
Sheryl,1
Sandberg,1
Brokers,1
Salomon Brothers,1
Environmental aspects of Chernobyl Nuclear Accident,1
Environmental aspects,1
Chernobyl Nuclear Accident,1
poetical works,1
Young Adult Fiction,1
Juvenile Nonfiction,1
Psychoanalysts,1
Grief,1
1932-2003,1
Books,1
Emperors,1
200,1
Atrocities,1
United States. National Aeronautics and Space Administration,1
African American mathematicians,1
Political atrocities,1
HUMOR,1
PERFORMING ARTS,1
apartheid,1
Jewish children in the Holocaust,1
Venus (Roman deity),1
Adonis (Greek deity),1
Brothers,1
Indians of Mexico,1
Cannibalism,1
Indigenous peoples,1
Research,1
Cell culture,1
john gregory,1
Dunne,1
Residents (Medicine),1
Physician and patient,1
David Sedaris,1
Mauritius in fiction,1
United Nations,1
Prostitution,1
Camps,1
Horror tales,1
Dysfunctional families,1
Problem families,1
Toxicomanes,1
Imperial Trans-Antarctic Expedition (1914-1917),1
Mothers,1
Race identity,1
Mulattoes,1
Anglican Communion,1
200 Catholic Church,1
teens,1
teenagers,1
nyt:hardcover_political_books=2012-02-25,1
Pimps,1
Beat generation,1
Vrouwen,1
Black nationalism,1
Mathematicians,1
Social mobility,1
Mountain people,1
Influence,1
Prisoners of war,1
sports,1
runners,1
Tarahumara Indians,1
Cocineros,1
Cooks,1
Theater,1
Capital,1
